ano,uf,acidentes
2007,AC,324
2007,AL,1604
2007,AM,173
2007,AP,150
2007,BA,7088
2007,CE,2261
2007,DF,1139
2007,ES,6241
2007,GO,5608
2007,MA,2112
2007,MG,20601
2007,MS,2299
2007,MT,2638
2007,PA,3128
2007,PB,2696
2007,PE,4765
2007,PI,1881
2007,PR,7074
2007,RJ,11670
2007,RN,3067
2007,RO,2082
2007,RR,458
2007,RS,11040
2007,SC,14587
2007,SE,1159
2007,SP,11109
2007,TO,712
2008,AC,353
2008,AL,1778
2008,AM,194
2008,AP,168
2008,BA,7629
2008,CE,2691
2008,DF,1044
2008,ES,6381
2008,GO,6454
2008,MA,2290
2008,MG,22710
2008,MS,2635
2008,MT,3110
2008,PA,3299
2008,PB,3325
2008,PE,5321
2008,PI,2030
2008,PR,9684
2008,RJ,13435
2008,RN,2874
2008,RO,2430
2008,RR,313
2008,RS,11254
2008,SC,15596
2008,SE,1232
2008,SP,11981
2008,TO,823
2009,AC,365
2009,AL,1914
2009,AM,199
2009,AP,161
2009,BA,8208
2009,CE,2914
2009,DF,1228
2009,ES,6746
2009,GO,7179
2009,MA,2319
2009,MG,25078
2009,MS,2836
2009,MT,3565
2009,PA,3413
2009,PB,3546
2009,PE,5984
2009,PI,2216
2009,PR,15609
2009,RJ,14207
2009,RN,3315
2009,RO,3094
2009,RR,287
2009,RS,11715
2009,SC,17896
2009,SE,1201
2009,SP,12473
2009,TO,977
2010,AC,462
2010,AL,2277
2010,AM,239
2010,AP,162
2010,BA,9441
2010,CE,3784
2010,DF,1299
2010,ES,7830
2010,GO,8012
2010,MA,2605
2010,MG,27377
2010,MS,3506
2010,MT,3744
2010,PA,4291
2010,PB,3856
2010,PE,7358
2010,PI,2642
2010,PR,20985
2010,RJ,16436
2010,RN,3935
2010,RO,3417
2010,RR,228
2010,RS,14507
2010,SC,19445
2010,SE,1456
2010,SP,13102
2010,TO,1068
2011,AC,518
2011,AL,2363
2011,AM,249
2011,AP,232
2011,BA,10436
2011,CE,3825
2011,DF,1583
2011,ES,7952
2011,GO,8061
2011,MA,3042
2011,MG,27428
2011,MS,3507
2011,MT,3888
2011,PA,4577
2011,PB,3990
2011,PE,8230
2011,PI,2834
2011,PR,22189
2011,RJ,18278
2011,RN,4083
2011,RO,3847
2011,RR,274
2011,RS,14995
2011,SC,19242
2011,SE,1643
2011,SP,13965
2011,TO,1090
2012,AC,503
2012,AL,2195
2012,AM,218
2012,AP,241
2012,BA,10281
2012,CE,3746
2012,DF,1448
2012,ES,7718
2012,GO,7691
2012,MA,3053
2012,MG,26783
2012,MS,3338
2012,MT,4284
2012,PA,3842
2012,PB,4105
2012,PE,7217
2012,PI,2768
2012,PR,20749
2012,RJ,17433
2012,RN,3868
2012,RO,3578
2012,RR,247
2012,RS,14110
2012,SC,18281
2012,SE,1672
2012,SP,14008
2012,TO,1179
2013,AC,448
2013,AL,2376
2013,AM,234
2013,AP,277
2013,BA,10388
2013,CE,4009
2013,DF,1535
2013,ES,8217
2013,GO,7985
2013,MA,2956
2013,MG,26478
2013,MS,3726
2013,MT,4572
2013,PA,3601
2013,PB,4242
2013,PE,7612
2013,PI,2879
2013,PR,19788
2013,RJ,17069
2013,RN,3975
2013,RO,3227
2013,RR,341
2013,RS,15215
2013,SC,18988
2013,SE,1558
2013,SP,13769
2013,TO,1279
2014,AC,457
2014,AL,1529
2014,AM,168
2014,AP,273
2014,BA,10406
2014,CE,3791
2014,DF,1327
2014,ES,7807
2014,GO,7125
2014,MA,2620
2014,MG,21884
2014,MS,3428
2014,MT,4464
2014,PA,3232
2014,PB,3659
2014,PE,7405
2014,PI,2728
2014,PR,17177
2014,RJ,15404
2014,RN,3675
2014,RO,2704
2014,RR,309
2014,RS,14431
2014,SC,18192
2014,SE,1562
2014,SP,12138
2014,TO,1301
2015,AC,468
2015,AL,1071
2015,AM,131
2015,AP,218
2015,BA,7152
2015,CE,2636
2015,DF,1040
2015,ES,4762
2015,GO,6131
2015,MA,2031
2015,MG,15540
2015,MS,2817
2015,MT,3757
2015,PA,2318
2015,PB,2753
2015,PE,5079
2015,PI,2156
2015,PR,12792
2015,RJ,9571
2015,RN,2521
2015,RO,2118
2015,RR,319
2015,RS,9869
2015,SC,14037
2015,SE,1097
2015,SP,8900
2015,TO,873
2016,AC,330
2016,AL,951
2016,AM,166
2016,AP,198
2016,BA,5496
2016,CE,2419
2016,DF,1066
2016,ES,3230
2016,GO,4968
2016,MA,1513
2016,MG,14371
2016,MS,2466
2016,MT,3261
2016,PA,1733
2016,PB,1932
2016,PE,3623
2016,PI,1501
2016,PR,11032
2016,RJ,6118
2016,RN,1626
2016,RO,1715
2016,RR,296
2016,RS,7515
2016,SC,10604
2016,SE,763
2016,SP,6632
2016,TO,836
2017,AC,304
2017,AL,904
2017,AM,131
2017,AP,166
2017,BA,4687
2017,CE,1954
2017,DF,1093
2017,ES,3004
2017,GO,4369
2017,MA,1583
2017,MG,12730
2017,MS,1933
2017,MT,3526
2017,PA,1504
2017,PB,1852
2017,PE,3441
2017,PI,1540
2017,PR,10689
2017,RJ,5969
2017,RN,1457
2017,RO,1831
2017,RR,286
2017,RS,6386
2017,SC,10664
2017,SE,763
2017,SP,6011
2017,TO,785
2018,AC,235
2018,AL,691
2018,AM,124
2018,AP,173
2018,BA,3555
2018,CE,1697
2018,DF,867
2018,ES,2642
2018,GO,3464
2018,MA,1272
2018,MG,9064
2018,MS,1530
2018,MT,2631
2018,PA,1260
2018,PB,1587
2018,PE,2715
2018,PI,1371
2018,PR,7951
2018,RJ,4572
2018,RN,1416
2018,RO,1629
2018,RR,236
2018,RS,4445
2018,SC,8493
2018,SE,559
2018,SP,4513
2018,TO,589
2019,AC,254
2019,AL,629
2019,AM,101
2019,AP,128
2019,BA,3468
2019,CE,1693
2019,DF,1082
2019,ES,2830
2019,GO,3347
2019,MA,1074
2019,MG,8702
2019,MS,1435
2019,MT,2136
2019,PA,816
2019,PB,1560
2019,PE,2732
2019,PI,1345
2019,PR,7691
2019,RJ,4589
2019,RN,1435
2019,RO,1528
2019,RR,237
2019,RS,4588
2019,SC,8411
2019,SE,612
2019,SP,4353
2019,TO,520
2020,AC,151
2020,AL,344
2020,AM,70
2020,AP,66
2020,BA,1817
2020,CE,791
2020,DF,579
2020,ES,1328
2020,GO,1766
2020,MA,571
2020,MG,4408
2020,MS,783
2020,MT,1160
2020,PA,524
2020,PB,758
2020,PE,1365
2020,PI,613
2020,PR,3930
2020,RJ,2184
2020,RN,692
2020,RO,854
2020,RR,135
2020,RS,2321
2020,SC,4068
2020,SE,313
2020,SP,2110
2020,TO,306
